day,time,plot,stage,richness,plantago,vegvol,airvol,NEEs,ERs,NEEh,ERh,GPPh,co2day,co2night,airtemp,soiltemp,rh,dew,subsoil,subsoilw,radiation,,,,,
7/13/23,12:35:00 PM,p9 UNC,3,10,15.795,2722,67648,-3.53E-06,1.99E-06,-0.5593,0.3153,-0.8745,-3.53E-06,1.99E-06,5.4,5.7,89.5,4.6,0.08,1.17,360,,,,,
7/13/23,12:46:00 PM,p8 UNC,1,5,149.549,9215,61156,-4.77E-06,2.76E-06,-0.7557,0.4373,-1.193,-4.77E-06,2.76E-06,6.3,6.1,89.6,5,0.67,1.16,295.25,,,,,
7/18/23,11:45:00 AM,p6 UNC,2,16,24.555,2930,72.467,-2.48E-06,1.56E-06,-0.3929,0.2472,-0.6401,-2.48E-06,1.56E-06,3.7,5.7,85.8,4.4,0.59,1.12,601.25,,,,,
7/18/23,12:03:00 PM,p3 UNC,1,6,135.012,8168,64176,-1.07E-05,4.59E-06,-1.6952,0.7272,-2.4224,-1.07E-05,4.59E-06,4.2,5.8,86.7,5.4,0.62,1.14,920.5,,,,,
7/20/23,3:33:00 PM,p4 UNC,2,9,107.349,4920,66706,-4.54E-06,2.41E-06,-0.7193,0.3818,-1.1011,-4.54E-06,2.41E-06,10.2,5.5,83.8,6.6,0.28,0.96,368.6666667,,,,,
7/20/23,3:44:00 PM,p2 UNC,2,11,48.943,10786,59585,-2.28E-06,2.65E-06,-0.3612,0.4198,-0.7811,-2.28E-06,2.65E-06,9.12,5.2,86.3,2.59,0.29,0.97,433.75,,,,,
7/20/23,3:57:00 PM,p1 UNC,3,9,2.815,12536,57835,-3.08E-06,3.35E-06,-0.4883,0.5313,-1.0196,-3.08E-06,3.35E-06,9.6,5.2,86.7,6.4,0.44,1.05,405.5,,,,,
7/20/23,4:11:00 PM,p12 UNC,1,3,153.94,2303,65554,-1.05E-05,3.53E-06,-1.6635,0.5593,-2.2228,-1.05E-05,3.53E-06,8.2,5,87.2,6,0.48,1.08,393.75,,,,,
7/20/23,4:24:00 PM,p11 UNC,1,3,125.296,9424,70999,-8.49E-06,3.98E-06,-1.3451,0.6306,-1.9757,-8.49E-06,3.98E-06,7.8,5.1,87,7,0.55,1.11,556,,,,,
7/20/23,4:35:00 PM,p5 UNC,1,8,123.533,10053,62831,-1.58E-06,3.66E-06,-0.2503,0.5799,-0.8302,-1.58E-06,3.66E-06,7,5.3,87.1,4.9,0.55,1.11,202,,,,,
7/20/23,4:46:00 PM,p8 UNC,1,5,149.549,9215,61156,-2.75E-06,2.80E-06,-0.4357,0.4436,-0.8793,-2.75E-06,2.80E-06,6.1,5.5,88.1,4.6,0.6,1.13,223.3333333,,,,,
7/20/23,4:56:00 PM,p9 UNC,3,10,15.795,2722,67648,-2.22E-06,1.37E-06,-0.3517,0.2171,-0.5688,-2.22E-06,1.37E-06,5,4.1,89.9,4.4,0.62,1.14,199.25,,,,,
7/20/23,5:11:00 PM,p6 UNC,2,16,24.555,2930,72467,-9.06E-07,1.53E-06,-0.1435,0.2423,-0.3858,-1.06E-07,1.33E-06,5.1,5.1,89.1,3.5,0.62,1.14,156.5,,,,,
8/25/23,10:17:00 AM,p1 UNC,3,9,2.815,12356,5785,-6.20E-07,4.95E-07,-0.0982,0.0784,-0.1767,-6.20E-07,4.95E-07,7.9,5.3,78.6,3.2,0.61,1.84,237.75,,,,,
8/25/23,10:32:00 AM,p12 UNC,1,3,153.94,2303,65973,-1.58E-06,6.30E-07,-0.2503,0.0998,-0.3501,-1.58E-06,6.30E-07,6.7,6,87.7,4.6,0.36,1.25,493.75,,,,,
8/25/23,10:45:00 AM,p2 UNC,2,11,48.943,10786,59585,-4.14E-07,5.07E-07,-0.0656,0.0803,-0.1459,-4.14E-07,5.07E-07,7.6,5.9,83.8,4.5,1.09,1.34,240.25,,,,,
8/25/23,10:56:00 AM,p4 UNC,2,9,107.349,4920,66706,-3.84E-07,3.76E-07,-0.0608,0.0596,-0.1204,-3.84E-07,3.76E-07,6.8,6,86.4,4.7,1.05,1.32,258,,,,,
8/25/23,11:08:00 AM,p3 UNC,1,6,135.012,8168,64176,-1.32E-06,5.79E-07,-0.2091,0.0917,-0.3009,-1.32E-06,5.79E-07,7.2,6.3,84.8,5.7,1.08,1.34,500.25,,,,,
8/25/23,11:21:00 AM,p14 UNC,3,16,1.395,10681,62203,-9.97E-07,3.57E-07,-0.158,0.0566,-0.2145,-9.97E-07,3.57E-07,6.9,5.2,85.2,5.9,0.98,1.3,396.5,,,,,
8/25/23,11:32:00 AM,p7 UNC,3,9,0.1,3141,72256,-6.61E-08,9.72E-08,-0.0105,0.0154,-0.0259,-6.61E-08,9.72E-08,5.8,5.9,87.1,3.7,0.96,1.29,126.75,,,,,
8/25/23,11:40:00 AM,p6 UNC,2,16,24.555,2930,72467,-5.21E-09,7.87E-08,-0.0008,0.0125,-0.0133,-5.21E-09,7.87E-08,3.7,5.5,89,2.8,0.97,1.29,97.75,,,,,
8/25/23,11:50:00 AM,p8 UNC,1,5,149.549,9215,61156,-2.33E-07,4.07E-07,-0.0369,0.0645,-0.1014,-2.33E-07,9.07E-07,3.5,5.3,90.2,2.6,NaN,NaN,217.75,,,,,
8/25/23,12:21:00 PM,p5 UNC,1,8,123.533,10053,62831,-9.65E-07,6.58E-07,-0.1529,0.1042,-0.2571,-9.65E-07,6.58E-07,5,6.1,87.8,3.8,NaN,NaN,373,,,,,
9/30/23,9:53:00 AM,p12 UNC,1,3,153.94,2303,65554,-5.71E-06,4.16E-06,-0.9046,0.6591,-1.5637,-5.71E-06,4.16E-06,8.9,7.5,85.6,6.3,0.22,0.8,241.5,,,,,
9/30/23,10:16:00 AM,p1 UNC,3,9,2.815,12356,57835,-3.38E-06,6.56E-06,-0.5355,1.0393,-1.5748,-3.38E-06,6.56E-06,8.8,7.8,84,7.4,0.42,1.05,403.5,,,,,
9/30/23,10:29:00 AM,p2 UNC,2,11,48.943,10786,59585,-5.21E-06,4.35E-06,-0.8254,0.6892,-1.5146,-5.21E-06,4.35E-06,8,7.6,85.2,7.7,0.01,0.78,431.5,,,,,
9/30/23,10:41:00 AM,p3 UNC,1,6,135.012,8168,64176,-5.71E-06,5.55E-06,-0.9046,0.8793,-1.7839,-5.71E-06,5.55E-06,10.4,7.6,81.8,9.5,0.28,0.97,217.75,,,,,
9/30/23,10:54:00 AM,p4 UNC,2,9,107.349,4920,66706,-6.34E-06,6.22E-06,-1.0045,0.9854,-1.9899,-6.34E-06,6.22E-06,9.6,8,87,9.2,0.26,0.95,485,,,,,
9/30/23,11:05:00 AM,p5 UNC,1,8,123.533,10053,62831,-9.71E-06,6.80E-06,-1.5384,1.0773,-2.6157,-9.71E-06,6.80E-06,12.3,7.9,81.6,10.3,0.2,0.92,1178.25,,,,,
9/30/23,11:17:00 AM,p11 UNC,1,3,125.296,9424,70999,-1.18E-05,7.52E-06,-1.8695,1.1914,-3.0609,-1.18E-05,7.52E-06,12.4,7.1,78,11,0.24,0.94,1405,,,,,
9/30/23,11:45:00 AM,p8 UNC,1,5,149.549,9215,61156,-1.32E-05,5.04E-06,-2.0913,0.7985,-2.8898,-1.32E-05,5.04E-06,12.9,7.6,73.8,12.4,0.26,0.95,625.25,,,,,
9/30/23,12:06:00 PM,p6 UNC,2,16,24.555,2930,72467,-4.87E-06,6.35E-06,-0.7716,1.006,-1.7776,-4.87E-06,6.35E-06,12.3,7.7,82.1,9.7,0.27,0.96,326.5,,,,,
9/30/23,12:22:00 PM,p7 UNC,3,9,0.1,3141,72256,-6.36E-07,6.90E-06,-0.1008,1.0932,-1.1939,-6.36E-07,6.90E-06,10.7,7.6,81.2,7.4,0.25,0.95,309.25,,,,,
9/30/23,12:52:00 PM,p9 UNC,3,10,15.795,2722,67648,1.11E-05,2.14E-06,1.7586,0.339,1.4196,1.11E-05,2.14E-06,8.9,7.9,89,6.5,0.02,0.9,163.25,,,,,
9/30/23,13:24:00 PM,p14 UNC,3,16,1.395,10681,62203,-1.33E-06,3.12E-06,-0.2107,0.4943,-0.705,-1.33E-06,3.12E-06,9.4,8.3,88.2,6.7,0.29,0.9,381.5,,,,,
10/31/23,10:30:00 AM,p12 UNC,1,3,153.94,2303,65554,-4.60E-06,8.66E-06,-0.7292,1.372,-2.1012,-4.60E-06,8.66E-06,15.4,7.7,77.5,9.9,0.62,1.14,391.75,,,,,
10/31/23,10:43:00 AM,p1 UNC,3,9,2.815,12536,57835,1.13E-07,6.70E-06,0.0179,1.0623,-1.0444,1.13E-07,6.70E-06,15.8,8,84.9,11.1,0.6,1.14,265,,,,,
10/31/23,10:54:00 AM,p2 UNC,2,11,48.943,10786,59585,5.26E-06,6.68E-06,0.8328,1.0584,-0.2256,5.26E-06,6.68E-06,13.1,7.9,80.1,8.9,0.85,1.24,122.5,,,,,
10/31/23,11:05:00 AM,p3 UNC,1,6,135.012,8168,64176,6.95E-06,7.43E-06,1.1008,1.1764,-0.0757,6.95E-06,7.43E-06,11.5,8.3,80.5,8.3,0.63,1.15,100.75,,,,,
10/31/23,12:06:00 PM,p4 UNC,2,9,107.349,4920,66706,2.74E-06,6.63E-06,0.4338,1.0503,-0.6165,2.74E-06,6.63E-06,10.5,8.1,84.2,5.6,0.28,0.97,201.25,,,,,
10/31/23,12:16:00 PM,p5 UNC,1,8,123.533,10053,62831,-2.60E-06,5.39E-06,-0.4114,0.8536,-1.2651,-2.60E-06,5.39E-06,7.5,8,81.6,5,0.79,1.22,290,,,,,
10/31/23,12:29:00 PM,p11 UNC,1,3,125.296,9424,65973,-7.81E-07,7.23E-06,-0.1238,1.1455,-1.2693,-7.81E-07,7.23E-06,9.1,7.7,84.2,6.8,0.22,0.93,279.75,,,,,
10/31/23,12:43:00 PM,p9 UNC,3,10,15.795,2722,67648,-1.26E-06,5.54E-06,-0.1992,0.8771,-1.0763,-1.26E-06,5.54E-06,10.8,7.9,84.3,8.9,0.86,1.25,493.75,,,,,
10/31/23,12:53:00 PM,p8 UNC,1,5,149.549,9215,61156,-1.17E-05,4.67E-06,-1.8568,0.74,-2.5969,-1.17E-05,4.67E-06,12.9,7,79.7,10.8,0.77,1.21,758,,,,,
10/31/23,13:04:00 PM,p6 UNC,2,16,24.555,2930,72467,-5.01E-06,7.74E-06,-0.794,1.2262,-2.0202,-5.01E-06,7.74E-06,14.9,8,81.4,12.2,0.61,1.14,711.5,,,,,
10/31/23,13:16:00 PM,p7 UNC,3,9,0.1,3141,72256,-4.13E-06,5.36E-06,-0.6538,0.85,-1.5038,-4.13E-06,5.36E-06,13.5,7.4,79.5,11.6,0.33,1,668.25,,,,,
10/31/23,13:27:00 PM,p14 UNC,3,16,1.395,10681,62203,-7.49E-06,5.73E-06,-1.1861,0.9084,-2.0945,-7.49E-06,5.73E-06,16.5,7.7,79.9,12.9,0.25,0.95,675.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
